"Innhold","Antall","Delenummer","Produsentens delenummer","Beskrivelse","Kundereferanse","Tilgjengelig","Restordre","Enhetspris","Utvidet pris NOK"
"1","3","160-1010-ND","LTP-3784E","DISP 14SEG 0.54"" DBL OR-RD 18DIP","","3","0","32,85000","98,55"
"2","3","ATSAMDA1E14B-ABTCT-ND","ATSAMDA1E14B-ABT","IC MCU 32BIT 16KB FLASH 32TQFP","","3","0","29,70000","89,10"
"3","3","P123418-ND","EVQ-V6G02115B","ROTARY ENCODER MECHANICAL 15PPR","","3","0","30,22000","90,66"
"4","3","893-1307-1-ND","XC9265A331MR-G","IC REG BUCK 3.3V 200MA SOT25-5","","3","0","13,40000","40,20"
"5","3","2073-USB4110-GF-A-1-ND","USB4110-GF-A","CONN RCP USB2.0 TYP C 24P SMD RA","","3","0","12,35000","37,05"
"6","6","EG5353CT-ND","TL3305AF260QG","SWITCH TACTILE SPST-NO 50MA 12V","","6","0","1,84000","11,04"
"7","6","1849-PR20B05VBDN-ND","PR20B05VBDN","PIN HEADER, THR, DUAL ROW, 1.27","","6","0","4,20000","25,20"
"8","3","2521-IS32FL3238-ZLA3-TRCT-ND","IS32FL3238-ZLA3-TR","18 CHANNEL LED DRIVER ETSSOP-28","","3","0","22,43000","67,29"
"9","3","846-QS6K1FRACT-ND","QS6K1FRATR","2.5V DRIVE NCH+NCH MOSFET (CORRE","","3","0","5,61000","16,83"
"10","3","1727-5310-1-ND","BZA856AVL,115","TVS DIODE 5.6VWM 5TSSOP","","3","0","3,50000","10,50"
"11","20","1276-1099-1-ND","CL21B104KACNNNC","CAP CER 0.1UF 25V X7R 0805","","20","0","0,35000","7,00"
"12","15","1276-6455-1-ND","CL21A106KOQNNNG","CAP CER 10UF 16V X5R 0805","","15","0","0,70100","10,52"
"13","10","1276-1015-1-ND","CL21B103KBANNNC","CAP CER 10000PF 50V X7R 0805","","10","0","0,40300","4,03"
"14","10","1276-1026-1-ND","CL21B105KOFNNNE","CAP CER 1UF 16V X7R 0805","","10","0","0,49100","4,91"
"15","10","478-10560-1-ND","08055C502KAT2A","CAP CER 5000PF 50V X7R 0805","","10","0","1,73400","17,34"
"16","10","1276-6786-1-ND","CL21A226KPCLRNC","CAP CER 22UF 10V X5R 0805","","10","0","2,26900","22,69"
"17","5","490-18463-1-ND","LQM21DH100M70L","FIXED IND 10UH 300MA 845MOHM SMD","","5","0","2,37000","11,85"
"18","30","RNCP0805FTD10K0CT-ND","RNCP0805FTD10K0","RES 10K OHM 1% 1/4W 0805","","30","0","0,63900","19,17"
"19","100","A130131CT-ND","CRGCQ0805J330R","RES 330 OHM 5% 1/8W 0805","","100","0","0,15590","15,59"
"20","5","2019-RK73H2ARTTD1001FCT-ND","RK73H2ARTTD1001F","RES 1K OHM 1% 1/4W 0805","","5","0","1,66000","8,30"
"21","10","A130138CT-ND","CRGCQ0805J4K7","RES 4.7K OHM 5% 1/8W 0805","","10","0","0,38500","3,85"
"22","10","A129785CT-ND","CRGCQ0805F1M0","RES 1M OHM 1% 1/8W 0805","","10","0","0,50800","5,08"
"23","10","RMCF0805FT100KCT-ND","RMCF0805FT100K","RES 100K OHM 1% 1/8W 0805","","10","0","0,23700","2,37"