"Source:","/home/halworsen/Documents/rotarykeyboard/rotarykeyboard.kicad_sch"
"Date:","sø. 03. april 2022 kl. 20.18 +0200"
"Tool:","Eeschema (6.0.2)"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","53"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DK"
"","","C101","0.1u","Device:C","Capacitor_SMD:C_0805_2012Metric","~",""
"","","C102","0.1u","Device:C","Capacitor_SMD:C_0805_2012Metric","~",""
"","","C103","0.1u","Device:C","Capacitor_SMD:C_0805_2012Metric","~",""
"","","C104","10u","Device:C","Capacitor_SMD:C_0805_2012Metric","~",""
"","","C105","10u","Device:C","Capacitor_SMD:C_0805_2012Metric","~",""
"","","C106","10n","Device:C","Capacitor_SMD:C_0805_2012Metric","~",""
"","","C107","10n","Device:C","Capacitor_SMD:C_0805_2012Metric","~",""
"","","C108","0.1u","Device:C","Capacitor_SMD:C_0805_2012Metric","~",""
"","","C109","1u","Device:C","Capacitor_SMD:C_0805_2012Metric","~",""
"","","C301","5n","Device:C","Capacitor_SMD:C_0805_2012Metric","~",""
"","","C302","10u","Device:C","Capacitor_SMD:C_0805_2012Metric","~",""
"","","C303","22u","Device:C","Capacitor_SMD:C_0805_2012Metric","~",""
"","","J101","Breakout","Connector_Generic:Conn_02x04_Odd_Even","Connector_PinHeader_1.27mm:PinHeader_2x04_P1.27mm_Vertical","~",""
"","","J102","Cortex Debug","Connector_Generic:Conn_02x05_Counter_Clockwise","Connector_PinHeader_1.27mm:PinHeader_2x05_P1.27mm_Vertical","~",""
"","","J301","USB_C_Receptacle_USB2.0","Connector:USB_C_Receptacle_USB2.0","USB4110-GF-A:USB4110-GF-A","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","https://www.digikey.no/no/products/detail/USB4110-GF-A/2073-USB4110-GF-A-1-ND/10384548?itemSeq=385830842"
"","","L301","10u","Device:L","Inductor_SMD:L_0805_2012Metric","~",""
"","","R101","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"","","R102","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"","","R103","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"","","R104","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"","","R105","330","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"","","R106","1k","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"","","R201","4k7","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~",""
"","","R202","4k7","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~",""
"","","R203","330","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"","","R204","330","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"","","R205","330","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"","","R206","330","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"","","R207","330","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"","","R208","330","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"","","R209","330","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"","","R210","330","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"","","R211","330","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"","","R212","330","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"","","R213","330","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"","","R214","330","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"","","R215","330","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"","","R216","330","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"","","R217","330","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"","","R301","1M","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"","","R302","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"","","R303","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"","","SW101","RotaryEncoder","Device:Rotary_Encoder","EVQV6:EVQV6","https://industrial.panasonic.com/cdbs/www-data/pdf/ATC0000/ATC0000C25.pdf","https://www.digikey.no/en/products/detail/panasonic-electronic-components/EVQ-V6G02115B/8567333"
"","","SW102","KBPush","Switch:SW_MEC_5E","TL3305A:SW_SPST_TL3305A","https://sten-eswitch-13110800-production.s3.amazonaws.com/system/asset/product_line/data_sheet/213/TL3305.pdf",""
"","","SW103","RESET","Switch:SW_MEC_5E","TL3305A:SW_SPST_TL3305A","https://sten-eswitch-13110800-production.s3.amazonaws.com/system/asset/product_line/data_sheet/213/TL3305.pdf",""
"","","TP301","TestPoint","Connector:TestPoint","TestPoint:TestPoint_Pad_D1.5mm","~",""
"","","TP302","TestPoint","Connector:TestPoint","TestPoint:TestPoint_Pad_D1.5mm","~",""
"","","U101","ATSAMDA1E14B-ABT","atsamda1e14b-abt:ATSAMDA1E14B-ABT","Package_QFP:TQFP-32_7x7mm_P0.8mm","https://ww1.microchip.com/downloads/en/DeviceDoc/40001895A.pdf","https://www.digikey.no/no/products/detail/microchip-technology/ATSAMDA1E14B-ABT/7559394"
"","","U201","QS6K1FRATR","QS6K1FRATR:QS6K1FRATR","QS6K1FRA:QS6K1FRA","https://fscdn.rohm.com/en/products/databook/datasheet/discrete/transistor/mosfet/qs6k1fra.pdf","https://www.digikey.no/product-detail/no/QS6K1FRATR/846-QS6K1FRACT-ND/13532602?itemSeq=385825744"
"","","U202","LTP-3784E","ltp3784E:LTP-3784E","LTP-3784E:LTP-3784E","https://optoelectronics.liteon.com/upload/download/DS-30-96-084/P3784E.pdf","https://www.digikey.no/en/products/detail/lite-on-inc/LTP-3784E/121566"
"","","U203","PCA9685PW","Driver_LED:PCA9685PW","Package_SO:TSSOP-28_4.4x9.7mm_P0.65mm","http://www.nxp.com/documents/data_sheet/PCA9685.pdf","https://www.digikey.no/en/products/detail/PCA9685PW%2c112/568-8366-5-ND/2034324?itemSeq=385813911"
"","","U301","FTZU6.2ET148","FTZU6.2ET148:FTZU6.2ET148","FTZU6.2ET148:FTZU6.2ET148","","https://www.digikey.no/no/products/detail/rohm-semiconductor/FTZU6-2ET148/926206"
"","","U302","XC9265A331MR-G","XC9265A331MR-G:XC9265A331MR-G","XC9265A331MR-G:XC9265A331MR-G","https://www.torexsemi.com/file/xc9265/XC9265.pdf","https://www.digikey.no/no/products/detail/XC9265A331MR-G/893-1307-1-ND/5964849?itemSeq=385815299"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DK"
"1","4","C101, C102, C103, C108","0.1u","Device:C","Capacitor_SMD:C_0805_2012Metric","~",""
"2","3","C104, C105, C302","10u","Device:C","Capacitor_SMD:C_0805_2012Metric","~",""
"3","2","C106, C107","10n","Device:C","Capacitor_SMD:C_0805_2012Metric","~",""
"4","1","C109","1u","Device:C","Capacitor_SMD:C_0805_2012Metric","~",""
"5","1","C301","5n","Device:C","Capacitor_SMD:C_0805_2012Metric","~",""
"6","1","C303","22u","Device:C","Capacitor_SMD:C_0805_2012Metric","~",""
"7","1","J101","Breakout","Connector_Generic:Conn_02x04_Odd_Even","Connector_PinHeader_1.27mm:PinHeader_2x04_P1.27mm_Vertical","~",""
"8","1","J102","Cortex Debug","Connector_Generic:Conn_02x05_Counter_Clockwise","Connector_PinHeader_1.27mm:PinHeader_2x05_P1.27mm_Vertical","~",""
"9","1","J301","USB_C_Receptacle_USB2.0","Connector:USB_C_Receptacle_USB2.0","USB4110-GF-A:USB4110-GF-A","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","https://www.digikey.no/no/products/detail/USB4110-GF-A/2073-USB4110-GF-A-1-ND/10384548?itemSeq=385830842"
"10","1","L301","10u","Device:L","Inductor_SMD:L_0805_2012Metric","~",""
"11","6","R101, R102, R103, R104, R302, R303","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"12","16","R105, R203, R204, R205, R206, R207, R208, R209, R210, R211, R212, R213, R214, R215, R216, R217","330","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"13","1","R106","1k","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"14","2","R201, R202","4k7","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~",""
"15","1","R301","1M","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"16","1","SW101","RotaryEncoder","Device:Rotary_Encoder","EVQV6:EVQV6","https://industrial.panasonic.com/cdbs/www-data/pdf/ATC0000/ATC0000C25.pdf","https://www.digikey.no/en/products/detail/panasonic-electronic-components/EVQ-V6G02115B/8567333"
"17","1","SW102","KBPush","Switch:SW_MEC_5E","TL3305A:SW_SPST_TL3305A","https://sten-eswitch-13110800-production.s3.amazonaws.com/system/asset/product_line/data_sheet/213/TL3305.pdf",""
"18","1","SW103","RESET","Switch:SW_MEC_5E","TL3305A:SW_SPST_TL3305A","https://sten-eswitch-13110800-production.s3.amazonaws.com/system/asset/product_line/data_sheet/213/TL3305.pdf",""
"19","2","TP301, TP302","TestPoint","Connector:TestPoint","TestPoint:TestPoint_Pad_D1.5mm","~",""
"20","1","U101","ATSAMDA1E14B-ABT","atsamda1e14b-abt:ATSAMDA1E14B-ABT","Package_QFP:TQFP-32_7x7mm_P0.8mm","https://ww1.microchip.com/downloads/en/DeviceDoc/40001895A.pdf","https://www.digikey.no/no/products/detail/microchip-technology/ATSAMDA1E14B-ABT/7559394"
"21","1","U201","QS6K1FRATR","QS6K1FRATR:QS6K1FRATR","QS6K1FRA:QS6K1FRA","https://fscdn.rohm.com/en/products/databook/datasheet/discrete/transistor/mosfet/qs6k1fra.pdf","https://www.digikey.no/product-detail/no/QS6K1FRATR/846-QS6K1FRACT-ND/13532602?itemSeq=385825744"
"22","1","U202","LTP-3784E","ltp3784E:LTP-3784E","LTP-3784E:LTP-3784E","https://optoelectronics.liteon.com/upload/download/DS-30-96-084/P3784E.pdf","https://www.digikey.no/en/products/detail/lite-on-inc/LTP-3784E/121566"
"23","1","U203","PCA9685PW","Driver_LED:PCA9685PW","Package_SO:TSSOP-28_4.4x9.7mm_P0.65mm","http://www.nxp.com/documents/data_sheet/PCA9685.pdf","https://www.digikey.no/en/products/detail/PCA9685PW%2c112/568-8366-5-ND/2034324?itemSeq=385813911"
"24","1","U301","FTZU6.2ET148","FTZU6.2ET148:FTZU6.2ET148","FTZU6.2ET148:FTZU6.2ET148","","https://www.digikey.no/no/products/detail/rohm-semiconductor/FTZU6-2ET148/926206"
"25","1","U302","XC9265A331MR-G","XC9265A331MR-G:XC9265A331MR-G","XC9265A331MR-G:XC9265A331MR-G","https://www.torexsemi.com/file/xc9265/XC9265.pdf","https://www.digikey.no/no/products/detail/XC9265A331MR-G/893-1307-1-ND/5964849?itemSeq=385815299"
